開課年度,開課學期,校碼,校名,課程名稱,英文名稱,學院名稱,系所名稱,學程名稱,年級,開課老師,學分數,修課人數,學制_,必選修_
105,2,3,國立臺灣大學,日本文化史,History of Japanese Culture,文學院,歷史系,,0,藍弘岳,2,125,學士班(含第二部),選修
105,2,3,國立臺灣大學,現代中國與世界:1911-197,China in Modern Times:1911-1979,文學院,歷史系,,0,王遠義,3,157,學士班(含第二部),選修
105,2,3,國立臺灣大學,戰後台灣史,The Postwar History of Taiwan,文學院,歷史系,,0,歐素瑛,2,82,學士班(含第二部),選修
105,2,3,國立臺灣大學,近代歐洲社會與閱讀文化,Culture of Reading and Society in Early Modern Europe,文學院,歷史系,,0,秦曼儀,3,19,學士班(含第二部),選修
105,2,3,國立臺灣大學,戰後臺灣民主運動史,The History of Democratic Movements in Postwar Taiwan,文學院,歷史系,,0,陳翠蓮,3,79,學士班(含第二部),選修
105,2,3,國立臺灣大學,資治通鑑選讀-南北朝,Selected Readings in Zizhi tongjian:Southern and Northern Dynasties,文學院,歷史系,,0,張  元,2,84,學士班(含第二部),選修
105,2,3,國立臺灣大學,探索台灣殖民都市空間,Urban space in colonial Taiwan,文學院,歷史系,,0,顏杏如,3,44,學士班(含第二部),選修
105,2,3,國立臺灣大學,東亞現代史,History of Modern East Asia,文學院,歷史系,,0,羅士傑,3,169,學士班(含第二部),選修
105,2,3,國立臺灣大學,日本近代歷史人物,HISTORICAL FIGURES IN MODERN JAPAN,文學院,歷史系,,0,楊典錕,3,234,學士班(含第二部),選修
105,2,3,國立臺灣大學,日本近代歷史人物,HISTORICAL FIGURES IN MODERN JAPAN,文學院,歷史系,,0,楊典錕,3,212,學士班(含第二部),選修
105,2,3,國立臺灣大學,二十世紀中國族群政治史,History of Ethnic Politics in 20th Century China,文學院,歷史系,,0,吳啟訥,2,270,學士班(含第二部),選修
105,2,3,國立臺灣大學,佛教經論選讀,Studies in the Buddhist Classics,文學院,哲學系,,0,陳平坤,3,32,學士班(含第二部),選修
105,2,3,國立臺灣大學,哲學推理與倫理學,Philosophical Reasoning and Ethics,文學院,哲學系,,0,陳榮華,3,34,學士班(含第二部),選修
105,2,3,國立臺灣大學,中國管理哲學,Chinese Management Philosophy,文學院,哲學系,,0,杜保瑞,3,151,學士班(含第二部),選修
105,2,3,國立臺灣大學,哲學概論,Introduction to Philosophy,文學院,哲學系,,0,彭文本,2,75,學士班(含第二部),選修
105,2,3,國立臺灣大學,哲學概論,Introduction to Philosophy,文學院,哲學系,,0,徐學庸,2,106,學士班(含第二部),選修
105,2,3,國立臺灣大學,哲學概論,Introduction to Philosophy,文學院,哲學系,,0,楊植勝,2,101,學士班(含第二部),選修
105,2,3,國立臺灣大學,哲學概論,Introduction to Philosophy,文學院,哲學系,,0,苑舉正,2,102,學士班(含第二部),選修
105,2,3,國立臺灣大學,邏輯,Logic,文學院,哲學系,,0,彭孟堯,2,194,學士班(含第二部),選修
105,2,3,國立臺灣大學,邏輯,Logic,文學院,哲學系,,0,曾漢塘,2,100,學士班(含第二部),選修
105,2,3,國立臺灣大學,應用倫理學,Applied Ethics,文學院,哲學系,,0,吳澤玫,3,28,學士班(含第二部),選修
105,2,3,國立臺灣大學,隋唐佛學,Buddhism in Sui-t'ang Dynasties,文學院,哲學系,,0,陳平坤,3,45,學士班(含第二部),選修
105,2,3,國立臺灣大學,近代美學,Modern Aesthetics,文學院,哲學系,,0,楊植勝,3,90,學士班(含第二部),選修
105,2,3,國立臺灣大學,斯多噶哲學,The Stoic Philosophy,文學院,哲學系,,0,苑舉正,3,75,學士班(含第二部),選修
105,2,3,國立臺灣大學,文化人類學丙,Cultural Anthoropology (c),文學院,人類系,,0,王梅霞,3,122,學士班(含第二部),選修
105,2,3,國立臺灣大學,臺灣原住民族當代議題,Contemporary issues of Taiwan Indigenous Peoples,文學院,人類系,,0,童元昭,3,19,學士班(含第二部),選修
105,2,3,國立臺灣大學,日文一下,Japanese (Ⅰ) (2),文學院,日文系,,0,詹兆雯,3,29,學士班(含第二部),選修
105,2,3,國立臺灣大學,日文一下,Japanese (Ⅰ) (2),文學院,日文系,,0,星野風紗子,3,34,學士班(含第二部),選修
105,2,3,國立臺灣大學,日文一下,Japanese (Ⅰ) (2),文學院,日文系,,0,柯惠真,3,41,學士班(含第二部),選修
105,2,3,國立臺灣大學,日文一下,Japanese (Ⅰ) (2),文學院,日文系,,0,王芳佳,3,12,學士班(含第二部),選修
105,2,3,國立臺灣大學,日文一下,Japanese (Ⅰ) (2),文學院,日文系,,0,詹兆雯,3,34,學士班(含第二部),選修
105,2,3,國立臺灣大學,日文一下,Japanese (Ⅰ) (2),文學院,日文系,,0,賴建樺,3,26,學士班(含第二部),選修
